Time (CDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Fri 09:22:03 AM	38.5815	-92.1642	← 305°	85	98	1,650	141 Climbing	 FlightAware ADS-B (KCOU)
Fri 09:22:19 AM	38.5850	-92.1706	← 306°	84	97	1,675	-88 Descending	 FlightAware ADS-B (KCOU)
Fri 09:22:37 AM	38.5887	-92.1773	← 307°	67	77	1,600	-333 Descending	 FlightAware ADS-B (KCOU)
Fri 09:22:55 AM	38.5919	-92.1828	← 306°	70	81	1,475	-397 Descending	 FlightAware ADS-B (KJEF)
Fri 09:23:11 AM	38.5957	-92.1881	↑ 344°	82	94	1,375	-333 Descending	 FlightAware ADS-B (KVER)
Fri 09:23:31 AM	38.6028	-92.1825	↗ 48°	85	98	1,275	-385 Descending	 FlightAware ADS-B (KJEF)
Fri 09:23:50 AM	38.6013	-92.1751	↘ 126°	72	83	1,125	-514 Descending	 FlightAware ADS-B (KJEF)
Fri 09:24:06 AM	38.5986	-92.1697	↘ 123°	67	77	975	201 Climbing	 FlightAware ADS-B (KJEF)
Fri 09:26:12 AM	38.5744	-92.1321	↙ 204°	67	77	1,600	339 Climbing	 FlightAware ADS-B (KVER)
Fri 09:26:32 AM	38.5699	-92.1368	← 261°	63	72	1,800	417 Climbing	 FlightAware ADS-B (KCOU)
Fri 09:26:48 AM	38.5715	-92.1431	← 303°	80	92	1,850	43 Climbing	 FlightAware ADS-B (KCOU)
Fri 09:27:07 AM	38.5750	-92.1505	← 296°	77	89	1,825	-86 Descending	 FlightAware ADS-B (KVER)
Fri 09:27:23 AM	38.5779	-92.1572	← 302°	78	90	1,800	-83 Descending	 FlightAware ADS-B (KCOU)
Fri 09:27:43 AM	38.5817	-92.1653	← 299°	79	91	1,775	-75 Descending	 FlightAware ADS-B (KCOU)
Fri 09:28:03 AM	38.5850	-92.1732	← 299°	67	77	1,750	-293 Descending	 FlightAware ADS-B (KCOU)
Fri 09:28:24 AM	38.5881	-92.1794	← 303°	67	77	1,575	-563 Descending	 FlightAware ADS-B (KVER)
Fri 09:28:43 AM	38.5926	-92.1862	← 314°	78	90	1,375	-458 Descending	 FlightAware ADS-B (KJEF)
Fri 09:29:00 AM	38.5983	-92.1879	↗ 22°	93	107	1,300	-227 Descending	 FlightAware ADS-B (KVER)
Fri 09:29:16 AM	38.6033	-92.1829	↗ 45°	85	98	1,250	-227 Descending	 FlightAware ADS-B (KVER)
Fri 09:29:33 AM	38.6016	-92.1754	↘ 124°	71	82	1,175	-386 Descending	 FlightAware ADS-B (KJEF)
Fri 09:29:51 AM    Arrival (KJEF) @ Friday 09:29:51 AM CDT			 FlightAware
Fri 09:29:51 AM	38.5986	-92.1694	↘ 124°	67	77	1,025	-500 Descending	 FlightAware ADS-B (KJEF)
