Time (CDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Sat 17:03:09	38.6715	-92.2894	↘ 126°	89	102	1,775	132 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:03:27	38.6669	-92.2818	↘ 133°	92	106	1,800	-60 Descending	 FlightAware ADS-B (KJEF)
Sat 17:03:59	38.6573	-92.2697	↘ 137°	97	112	1,725	-156 Descending	 FlightAware ADS-B (KCOU)
Sat 17:04:15	38.6520	-92.2637	↘ 141°	90	104	1,675	-220 Descending	 FlightAware ADS-B (KCOU)
Sat 17:04:40	38.6444	-92.2545	↘ 132°	91	105	1,575	-153 Descending	 FlightAware ADS-B (KCOU)
Sat 17:05:04	38.6378	-92.2446	↘ 129°	92	106	1,550	 Level	 FlightAware ADS-B (KJEF)
Sat 17:06:07	38.6230	-92.2162	↘ 125°	91	105	1,575	 Level	 FlightAware ADS-B (KCOU)
Sat 17:06:25	38.6181	-92.2081	↘ 128°	92	106	1,550	-88 Descending	 FlightAware ADS-B (KJEF)
Sat 17:06:41	38.6145	-92.2015	↘ 121°	88	101	1,525	-141 Descending	 FlightAware ADS-B (KJEF)
Sat 17:06:57	38.6115	-92.1947	↘ 124°	74	85	1,475	-397 Descending	 FlightAware ADS-B (KVER)
Sat 17:07:15	38.6082	-92.1886	↘ 122°	71	82	1,300	-574 Descending	 FlightAware ADS-B (KCOU)
Sat 17:07:31	38.6053	-92.1829	↘ 125°	70	81	1,150	-563 Descending	 FlightAware ADS-B (KVER)
Sat 17:07:47	38.6025	-92.1776	↘ 124°	69	79	1,000	-469 Descending	 FlightAware ADS-B (KJEF)
Sat 17:08:03	38.5999	-92.1721	↘ 121°	66	76	900	185 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:10:37	38.5943	-92.1320	← 311°	91	105	1,525	218 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:10:55	38.5997	-92.1399	← 312°	107	123	1,525	-31 Descending	 FlightAware ADS-B (KJEF)
Sat 17:11:26	38.6096	-92.1545	← 309°	101	116	1,500	-96 Descending	 FlightAware ADS-B (KJEF)
Sat 17:11:42	38.6139	-92.1613	← 309°	92	106	1,450	-281 Descending	 FlightAware ADS-B (KCOU)
Sat 17:11:58	38.6181	-92.1684	← 307°	89	102	1,350	-214 Descending	 FlightAware ADS-B (KCOU)
Sat 17:12:17	38.6157	-92.1749	↙ 219°	69	79	1,325	-171 Descending	 FlightAware ADS-B (KJEF)
Sat 17:12:33	38.6118	-92.1791	↙ 221°	70	81	1,250	-281 Descending	 FlightAware ADS-B (KVER)
Sat 17:12:49	38.6073	-92.1817	↓ 189°	69	79	1,175	-386 Descending	 FlightAware ADS-B (KCOU)
Sat 17:13:08	38.6025	-92.1774	↘ 123°	69	79	1,025	-514 Descending	 FlightAware ADS-B (KJEF)
Sat 17:13:24	38.5999	-92.1722	↘ 122°	62	71	875	137 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:15:52	38.5919	-92.1309	← 312°	92	106	1,400	241 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:16:12	38.5969	-92.1384	← 309°	93	107	1,550	255 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:16:39	38.6051	-92.1505	← 311°	98	113	1,600	70 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:16:55	38.6096	-92.1572	← 312°	94	108	1,600	-141 Descending	 FlightAware ADS-B (KJEF)
Sat 17:17:11	38.6138	-92.1634	← 311°	91	105	1,525	-409 Descending	 FlightAware ADS-B (KJEF)
Sat 17:17:28	38.6162	-92.1714	↙ 243°	80	92	1,375	-405 Descending	 FlightAware ADS-B (KJEF)
Sat 17:17:48	38.6110	-92.1768	↙ 212°	72	83	1,275	-308 Descending	 FlightAware ADS-B (KJEF)
Sat 17:18:07	38.6056	-92.1804	↓ 191°	62	71	1,175	-395 Descending	 FlightAware ADS-B (KJEF)
Sat 17:18:26	38.6016	-92.1755	↘ 120°	62	71	1,025	-600 Descending	 FlightAware ADS-B (KJEF)
Sat 17:18:42	38.5994	-92.1710	↘ 124°	63	72	825	146 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:20:50	38.5869	-92.1282	↗ 31°	84	97	1,375	265 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:21:09	38.5935	-92.1319	← 306°	99	114	1,475	308 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:21:29	38.5991	-92.1419	← 310°	105	121	1,575	188 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:21:49	38.6053	-92.1508	← 307°	98	113	1,600	41 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:22:06	38.6103	-92.1586	← 312°	98	113	1,600	-263 Descending	 FlightAware ADS-B (KJEF)
Sat 17:22:29	38.6161	-92.1677	← 304°	89	102	1,425	-450 Descending	 FlightAware ADS-B (KJEF)
Sat 17:22:46	38.6188	-92.1751	← 261°	74	85	1,300	-182 Descending	 FlightAware ADS-B (KCOU)
Sat 17:23:02	38.6149	-92.1795	↙ 207°	64	74	1,325	-47 Descending	 FlightAware ADS-B (KJEF)
Sat 17:23:18	38.6110	-92.1824	↙ 209°	62	71	1,275	-375 Descending	 FlightAware ADS-B (KJEF)
Sat 17:23:34	38.6069	-92.1834	↘ 148°	66	76	1,125	-545 Descending	 FlightAware ADS-B (KJEF)
Sat 17:23:51	38.6037	-92.1785	↘ 125°	63	72	975	-545 Descending	 FlightAware ADS-B (KJEF)
Sat 17:24:07	38.6009	-92.1739	↘ 126°	66	76	825	-455 Descending	 FlightAware ADS-B (KJEF)
Sat 17:24:24	38.5981	-92.1685	↘ 124°	61	70	725	253 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:26:53	38.5983	-92.1420	← 308°	98	113	1,525	307 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:27:10	38.6028	-92.1494	← 305°	95	109	1,575	125 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:27:29	38.6082	-92.1585	← 310°	91	105	1,600	-183 Descending	 FlightAware ADS-B (KJEF)
Sat 17:27:51	38.6135	-92.1667	← 308°	85	98	1,450	-355 Descending	 FlightAware ADS-B (KCOU)
Sat 17:28:07	38.6163	-92.1735	← 268°	73	84	1,375	-375 Descending	 FlightAware ADS-B (KCOU)
Sat 17:28:23	38.6130	-92.1789	↙ 209°	71	82	1,250	-500 Descending	 FlightAware ADS-B (KJEF)
Sat 17:28:40	38.6084	-92.1820	↙ 211°	63	72	1,100	-574 Descending	 FlightAware ADS-B (KCOU)
Sat 17:28:57	38.6043	-92.1799	↘ 130°	70	81	925	-417 Descending	 FlightAware ADS-B (KJEF)
Sat 17:29:16	38.6008	-92.1737	↘ 122°	61	70	850	-462 Descending	 FlightAware ADS-B (KJEF)
Sat 17:29:36	38.5975	-92.1672	↘ 123°	64	74	625	239 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:31:53	38.5940	-92.1345	← 310°	94	108	1,475	382 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:32:09	38.5985	-92.1420	← 306°	99	114	1,600	375 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:32:25	38.6020	-92.1483	← 309°	94	108	1,675	88 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:32:43	38.6073	-92.1564	← 309°	100	115	1,650	-86 Descending	 FlightAware ADS-B (KCOU)
Sat 17:33:00	38.6115	-92.1638	← 305°	88	101	1,625	-273 Descending	 FlightAware ADS-B (KCOU)
Sat 17:33:16	38.6151	-92.1697	← 299°	82	94	1,500	-375 Descending	 FlightAware ADS-B (KVER)
Sat 17:33:32	38.6146	-92.1766	↙ 226°	72	83	1,425	-234 Descending	 FlightAware ADS-B (KJEF)
Sat 17:33:48	38.6106	-92.1800	↙ 215°	65	75	1,375	-375 Descending	 FlightAware ADS-B (KJEF)
Sat 17:34:04	38.6066	-92.1822	↓ 162°	60	69	1,225	-514 Descending	 FlightAware ADS-B (KCOU)
Sat 17:34:23	38.6026	-92.1776	↘ 123°	66	76	1,075	-625 Descending	 FlightAware ADS-B (KJEF)
Sat 17:34:40	38.5999	-92.1719	↘ 123°	63	72	850	120 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:37:06	38.5921	-92.1308	← 309°	98	113	1,400	257 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:37:29	38.5984	-92.1412	← 309°	101	116	1,575	413 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:37:46	38.6036	-92.1499	← 306°	97	112	1,675	265 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:38:03	38.6079	-92.1572	← 305°	93	107	1,725	-110 Descending	 FlightAware ADS-B (KCOU)
Sat 17:38:27	38.6142	-92.1678	← 306°	90	104	1,600	-357 Descending	 FlightAware ADS-B (KJEF)
Sat 17:38:45	38.6172	-92.1755	← 257°	81	93	1,475	-375 Descending	 FlightAware ADS-B (KCOU)
Sat 17:39:03	38.6127	-92.1810	↙ 214°	67	77	1,375	-386 Descending	 FlightAware ADS-B (KVER)
Sat 17:39:20	38.6080	-92.1835	↓ 172°	63	72	1,250	-500 Descending	 FlightAware ADS-B (KCOU)
Sat 17:39:36	38.6040	-92.1801	↘ 126°	73	84	1,100	-563 Descending	 FlightAware ADS-B (KJEF)
Sat 17:39:52	38.6012	-92.1748	↘ 122°	66	76	950	-703 Descending	 FlightAware ADS-B (KJEF)
Sat 17:40:08	38.5983	-92.1690	↘ 126°	69	79	725	192 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:42:44	38.5966	-92.1389	← 308°	101	116	1,500	300 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:43:08	38.6039	-92.1507	← 309°	101	116	1,625	188 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:43:24	38.6082	-92.1573	← 311°	93	107	1,625	-281 Descending	 FlightAware ADS-B (KJEF)
Sat 17:43:40	38.6127	-92.1637	← 312°	91	105	1,475	-545 Descending	 FlightAware ADS-B (KCOU)
Sat 17:43:57	38.6153	-92.1716	← 267°	84	97	1,325	-591 Descending	 FlightAware ADS-B (KJEF)
Sat 17:44:13	38.6119	-92.1774	↙ 220°	72	83	1,150	-516 Descending	 FlightAware ADS-B (KJEF)
Sat 17:44:29	38.6077	-92.1809	↙ 212°	67	77	1,050	-292 Descending	 FlightAware ADS-B (KJEF)
Sat 17:44:49	38.6031	-92.1782	↘ 123°	63	72	975	-355 Descending	 FlightAware ADS-B (KJEF)
Sat 17:45:07	38.5999	-92.1721	↘ 124°	61	70	825	136 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:47:34	38.5921	-92.1302	← 311°	96	110	1,350	260 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:48:00	38.5994	-92.1412	← 306°	97	112	1,575	429 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:48:16	38.6045	-92.1497	← 308°	98	113	1,650	88 Climbing	 FlightAware ADS-B (KJEF)
Sat 17:48:34	38.6094	-92.1577	← 308°	104	120	1,625	-349 Descending	 FlightAware ADS-B (KCOU)
Sat 17:48:59	38.6153	-92.1689	← 287°	88	101	1,400	-648 Descending	 FlightAware ADS-B (KCOU)
Sat 17:49:18	38.6122	-92.1768	↙ 213°	77	89	1,150	-600 Descending	 FlightAware ADS-B (KJEF)
Sat 17:49:34	38.6084	-92.1803	↙ 214°	69	79	1,050	-309 Descending	 FlightAware ADS-B (KVER)
Sat 17:49:52	38.6033	-92.1789	↘ 124°	69	79	975	-386 Descending	 FlightAware ADS-B (KJEF)
Sat 17:50:09	38.6005	-92.1735	↘ 121°	69	79	825	-500 Descending	 FlightAware ADS-B (KJEF)
Sat 17:50:25    Arrival (KJEF) @ Saturday 17:50:25 CDT			 FlightAware
Sat 17:50:25	38.5979	-92.1683	↘ 124°	65	75	700	-469 Descending	 FlightAware ADS-B (KJEF)
