Time (EDT) 	Latitude 	Longitude 	Course 	kts 	mph 	feet 	Rate 	Reporting Facility
Thu 03:30:42 PM 	38.5886 	-92.1807 	↘ 153° 	83 	96 	1,456 	333 Climbing 	FlightAware ADS-B (KJEF)
Thu 03:31:01 PM 	38.5839 	-92.1737 	↘ 123° 	91 	105 	1,506 	234 Climbing 	FlightAware ADS-B (KVER)
Thu 03:31:19 PM 	38.5799 	-92.1653 	↘ 120° 	91 	105 	1,600 	-9 Descending 	FlightAware ADS-B (KCOU)
Thu 03:31:40 PM 	38.5749 	-92.1558 	↘ 124° 	93 	107 	1,500 	-154 Descending 	FlightAware ADS-B (KVER)
Thu 03:31:58 PM 	38.5716 	-92.1485 	↘ 121° 	74 	85 	1,500 	-162 Descending 	FlightAware ADS-B (KVER)
Thu 03:34:45 PM 	38.5981 	-92.1686 	← 302° 	81 	93 	1,000 	-131 Descending 	FlightAware ADS-B (KJEF)
Thu 03:35:01 PM 	38.5982 	-92.1757 	↙ 226° 	91 	105 	1,100 	750 Climbing 	FlightAware ADS-B (KJEF)
Thu 03:35:17 PM 	38.5933 	-92.1800 	↙ 214° 	87 	100 	1,400 	667 Climbing 	FlightAware ADS-B (KCOU)
Thu 03:35:37 PM 	38.5863 	-92.1783 	↘ 133° 	91 	105 	1,500 	150 Climbing 	FlightAware ADS-B (KCOU)
Thu 03:35:57 PM 	38.5808 	-92.1690 	↘ 125° 	96 	110 	1,500 	150 Climbing 	FlightAware ADS-B (KCOU)
Thu 03:36:17 PM 	38.5761 	-92.1600 	↘ 125° 	90 	104 	1,600 	 Level 	FlightAware ADS-B (KVER)
Thu 03:36:39 PM 	38.5715 	-92.1510 	↘ 122° 	80 	92 	1,500 	-216 Descending 	FlightAware ADS-B (KVER)
Thu 03:39:31 PM 	38.5980 	-92.1685 	← 302° 	73 	84 	900 	-61 Descending 	FlightAware ADS-B (KJEF)
Thu 03:39:57 PM 	38.5944 	-92.1776 	↙ 216° 	83 	96 	1,300 	857 Climbing 	FlightAware ADS-B (KVER)
Thu 03:40:13 PM 	38.5886 	-92.1810 	↓ 171° 	85 	98 	1,500 	649 Climbing 	FlightAware ADS-B (KJEF)
Thu 03:40:34 PM 	38.5833 	-92.1735 	↘ 122° 	92 	106 	1,700 	308 Climbing 	FlightAware ADS-B (KCOU)
Thu 03:40:52 PM 	38.5786 	-92.1649 	↘ 122° 	94 	108 	1,700 	 Level 	FlightAware ADS-B (KCOU)
Thu 03:41:09 PM 	38.5747 	-92.1569 	↘ 122° 	92 	106 	1,700 	162 Climbing 	FlightAware ADS-B (KVER)
Thu 03:41:29 PM 	38.5703 	-92.1476 	↘ 121° 	92 	106 	1,800 	 Level 	FlightAware ADS-B (KVER)
Thu 03:41:46 PM 	38.5670 	-92.1394 	→ 110° 	78 	90 	1,700 	-314 Descending 	FlightAware ADS-B (KJEF)
Thu 03:44:21 PM 	38.5953 	-92.1630 	← 301° 	85 	98 	900 	-170 Descending 	FlightAware ADS-B (KJEF)
Thu 03:44:42 PM 	38.6000 	-92.1706 	← 305° 	81 	93 	1,200 	649 Climbing 	FlightAware ADS-B (KJEF)
Thu 03:44:58 PM 	38.5984 	-92.1774 	↙ 226° 	81 	93 	1,300 	563 Climbing 	FlightAware ADS-B (KCOU)
Thu 03:45:14 PM 	38.5933 	-92.1823 	↙ 207° 	84 	97 	1,500 	375 Climbing 	FlightAware ADS-B (KJEF)
Thu 03:45:30 PM 	38.5875 	-92.1791 	↘ 124° 	99 	114 	1,500 	182 Climbing 	FlightAware ADS-B (KCOU)
Thu 03:45:47 PM 	38.5831 	-92.1713 	↘ 126° 	98 	113 	1,600 	182 Climbing 	FlightAware ADS-B (KJEF)
Thu 03:46:03 PM 	38.5789 	-92.1633 	↘ 123° 	104 	120 	1,600 	-188 Descending 	FlightAware ADS-B (KCOU)
Thu 03:46:19 PM 	38.5750 	-92.1562 	↘ 126° 	99 	114 	1,500 	-162 Descending 	FlightAware ADS-B (KVER)
Thu 03:46:40 PM    Arrival (KJEF) @ Thursday 02:46:40 PM CDT			FlightAware
Thu 03:46:40 PM 	38.5697 	-92.1463 	↘ 122° 	83 	96 	1,500 	 Level 	FlightAware ADS-B (KVER) 
