Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Tue 18:37:59    Departure (KJEF) @ Tuesday 18:37:59 CDT		 FlightAware
Tue 19:39:28	38.6102	-92.1592	← 309°	94	1,300	-167 Descending	 FlightAware ADS-B (KDMO)
Tue 19:39:45	38.6148	-92.1661	← 311°	88	1,300	-171 Descending	 FlightAware ADS-B (KVER)
Tue 19:40:03	38.6148	-92.1737	↙ 220°	77	1,200	-353 Descending	 FlightAware ADS-B (KVER)
Tue 19:40:19	38.6107	-92.1779	↙ 216°	64	1,100	-364 Descending	 FlightAware ADS-B (KVER)
Tue 19:40:36	38.6063	-92.1811	↓ 194°	66	1,000	69 Climbing	 FlightAware ADS-B (KCOU)
Tue 19:43:12	38.5949	-92.1345	↖ 316°	93	1,300	105 Climbing	 FlightAware ADS-B (KCOU)
Tue 19:43:28	38.5997	-92.1412	← 312°	104	1,300	 Level	 FlightAware ADS-B (KCOU)
Tue 19:43:50	38.6069	-92.1525	← 309°	105	1,300	 Level	 FlightAware ADS-B (KDMO)
Tue 19:44:07	38.6116	-92.1594	← 312°	85	1,300	-167 Descending	 FlightAware ADS-B (KCOU)
Tue 19:44:26	38.6165	-92.1667	← 296°	83	1,200	-409 Descending	 FlightAware ADS-B (KCOU)
Tue 19:44:51	38.6124	-92.1758	↙ 221°	68	1,000	-346 Descending	 FlightAware ADS-B (KVER)
Tue 19:45:18    Arrival (KJEF) @ Tuesday 19:45:18 CDT		 FlightAware
Tue 19:45:18	38.6053	-92.1810	↓ 177°	64	900	-222 Descending	 FlightAware ADS-B (KCOU)
